iter	Passed	Remaining
402	13607	20158
403	13648	20134
404	13682	20101
405	13717	20069
406	13737	20015
407	13777	19990
408	13815	19963
409	13850	19931
410	13884	19897
411	13920	19867
412	13959	19840
413	13994	19808
414	14028	19775
415	14065	19745
416	14100	19713
417	14136	19683
418	14178	19660
419	14222	19640
420	14263	19616
421	14308	19597
422	14344	19567
423	14378	19533
424	14421	19510
425	14454	19475
426	14484	19437
427	14517	19401
428	14554	19372
429	14588	19338
430	14623	19305
431	14656	19270
432	14691	19237
433	14722	19200
434	14757	19168
435	14792	19135
436	14825	19100
437	14861	19068
438	14895	19035
439	14928	19000
440	14961	18964
441	14992	18927
442	15026	18893
443	15061	18861
444	15079	18807
445	15112	18772
446	15145	18737
447	15176	18699
448	15208	18663
449	15242	18629
450	15274	18593
451	15308	18559
452	15342	18526
453	15378	18495
454	15420	18471
455	15463	18448
456	15508	18426
457	15546	18397
458	15579	18362
459	15612	18327
460	15646	18294
461	15683	18263
462	15716	18228
463	15751	18195
464	15787	18163
465	15819	18128
466	15852	18092
467	15883	18055
468	15915	18019
469	15948	17984
470	15978	17946
471	16010	17909
472	16044	17876
473	16078	17842
474	16110	17806
475	16147	17775
476	16183	17743
477	16216	17709
478	16257	17682
479	16293	17651
480	16329	17620
481	16365	17587
482	16409	17564
483	16454	17542
484	16493	17514
485	16529	17481
486	16560	17445
487	16595	17411
488	16627	17376
489	16666	17346
490	16708	17321
491	16746	17291
492	16780	17257
493	16814	17222
494	16848	17188
495	16883	17156
496	16920	17125
497	16954	17091
498	16987	17055
499	17022	17022
500	17055	16987
501	17088	16951
502	17120	16915
503	17152	16879
504	17187	16846
505	17220	16811
506	17253	16777
507	17288	16744
508	17323	16710
509	17358	16677
510	17404	16655
511	17445	16627
512	17482	16596
513	17515	16561
514	17553	16530
515	17586	16496
516	17624	16465
517	17660	16432
518	17700	16404
519	17737	16373
520	17770	16337
521	17799	16299
522	17818	16251
523	17851	16215
524	17884	16181
525	17924	16152
526	17965	16124
527	18003	16094
528	18039	16061
529	18072	16026
530	18091	15979
531	18124	15944
532	18161	15912
533	18194	15877
534	18229	15844
535	18263	15810
536	18295	15774
537	18329	15740
538	18363	15705
539	18399	15673
540	18433	15639
541	18453	15593
542	18487	15559
543	18520	15524
544	18549	15486
545	18579	15448
546	18613	15414
547	18655	15387
548	18699	15361
549	18731	15325
550	18765	15291
551	18798	15256
552	18827	15218
553	18859	15182
554	18894	15149
555	18934	15120
556	18976	15092
557	19009	15057
558	19044	15024
559	19077	14989
560	19111	14955
561	19144	14920
562	19179	14886
563	19209	14849
564	19230	14805
565	19263	14770
566	19300	14738
567	19330	14701
568	19361	14665
569	19395	14631
570	19423	14592
571	19454	14557
572	19488	14523
573	19522	14488
574	19556	14455
575	19592	14422
576	19626	14388
577	19659	14353
578	19690	14317
579	19722	14281
580	19753	14245
581	19786	14210
582	19820	14176
583	19851	14140
584	19879	14102
585	19917	14071
586	19957	14041
587	19996	14011
588	20025	13973
589	20057	13938
590	20090	13903
591	20121	13867
592	20156	13834
593	20188	13798
594	20219	13762
595	20251	13727
596	20283	13692
597	20315	13656
598	20346	13620
599	20391	13594
600	20434	13566
601	20473	13535
602	20507	13501
603	20543	13468
604	20575	13433
605	20607	13398
606	20642	13365
607	20677	13331
608	20709	13296
609	20740	13260
610	20775	13226
611	20807	13191
612	20838	13155
613	20871	13121
614	20905	13087
615	20937	13051
616	20970	13017
617	21002	12982
618	21036	12948
619	21080	12920
620	21121	12890
621	21160	12859
622	21193	12825
623	21224	12789
624	21259	12755
625	21297	12723
626	21327	12687
627	21367	12657
628	21407	12626
629	21443	12593
630	21476	12559
631	21507	12523
632	21536	12486
633	21567	12450
634	21602	12417
635	21636	12383
636	21677	12353
637	21720	12324
638	21753	12289
639	21784	12254
640	21816	12218
641	21848	12183
642	21881	12148
643	21918	12116
644	21952	12082
645	21984	12047
646	22025	12016
647	22061	11983
648	22095	11950
649	22131	11916
650	22154	11877
651	22193	11845
652	22228	11812
653	22262	11778
654	22293	11742
655	22314	11701
656	22350	11668
657	22389	11637
658	22430	11606
659	22463	11571
660	22494	11536
661	22527	11502
662	22559	11466
663	22589	11430
664	22619	11394
665	22641	11354
666	22676	11321
667	22694	11279
668	22724	11243
669	22752	11206
670	22785	11172
671	22820	11138
672	22850	11102
673	22880	11066
674	22912	11032
675	22946	10998
676	22976	10962
677	23005	10925
678	23035	10890
679	23068	10855
680	23101	10821
681	23133	10786
682	23167	10752
683	23201	10718
684	23235	10684
685	23266	10649
686	23299	10615
687	23331	10580
688	23376	10551
689	23416	10520
690	23456	10489
691	23497	10458
692	23533	10425
693	23567	10391
694	23602	10357
695	23638	10325
696	23675	10292
697	23710	10258
698	23748	10226
699	23784	10193
700	23818	10159
701	23849	10124
702	23882	10089
703	23913	10054
704	23944	10019
705	23973	9983
706	24006	9948
