iter	F1	Logloss
0	0.6709594334	0.6633876237
1	0.7202643172	0.6346930106
2	0.6925485285	0.6126131367
3	0.754116979	0.594016736
4	0.7524188958	0.5725317148
5	0.745412844	0.5513199882
6	0.7479484174	0.5317940607
7	0.7482014388	0.5081658162
8	0.7604967475	0.4853565195
9	0.7610619469	0.4700765492
10	0.7572356763	0.4545422787
11	0.7575221239	0.4365078231
12	0.7590643275	0.4209215748
13	0.7539823009	0.4014853094
14	0.7545615068	0.3853265196
15	0.755711775	0.3689456991
16	0.7549591599	0.3538934654
17	0.7607934656	0.339984793
18	0.7641234712	0.3253850718
19	0.7619603267	0.3126391485
20	0.7594641817	0.3007760525
21	0.7623474724	0.2902183195
22	0.76672484	0.2818851063
23	0.7641234712	0.2715991693
24	0.7623474724	0.2618984816
25	0.7622377622	0.2554407173
26	0.7617938264	0.2467527768
27	0.7634032634	0.2396713896
28	0.7668997669	0.231640039
29	0.7716443928	0.2239511472
30	0.7778418927	0.2156045568
31	0.7782909931	0.2101965246
32	0.7766203704	0.2037840651
33	0.7818599311	0.1972256523
34	0.7830080367	0.1903185611
35	0.7834577829	0.1842927451
36	0.7830080367	0.1797803614
37	0.7837062536	0.1747995904
38	0.7848537005	0.1696544578
39	0.7862464183	0.1652906871
40	0.7860011474	0.1612131011
41	0.7843588269	0.1582213688
42	0.7896848138	0.153618491
43	0.7882960413	0.1506155976
44	0.7896848138	0.147192821
45	0.7903780069	0.1431420674
46	0.7899255867	0.1396276489
47	0.792	0.137110126
48	0.7943019943	0.1339602586
49	0.7963491158	0.1308202692
50	0.7977207977	0.1277841648
51	0.8002276608	0.1248907032
52	0.800912721	0.1222013126
53	0.8020536224	0.1196216041
54	0.8045584046	0.1170506983
55	0.8045584046	0.1153470855
56	0.8059191804	0.1131537889
57	0.8050171038	0.1119357477
58	0.8054607509	0.1099221115
59	0.8095238095	0.1078676588
60	0.8108720272	0.1061281218
61	0.81200453	0.1041491987
62	0.8144388043	0.102425046
63	0.8169014085	0.1006760282
64	0.8179775281	0.09945288083
65	0.8195615514	0.09816422959
66	0.8204264871	0.09653658799
67	0.8197641774	0.09505011768
68	0.8220101067	0.0935258622
69	0.8239910314	0.09229312998
70	0.8228699552	0.09097986541
71	0.8235294118	0.08967904453
72	0.8253079507	0.08852153071
73	0.8257703081	0.08717001432
74	0.8264277716	0.08612606284
75	0.8251121076	0.08472047717
76	0.8255748738	0.08370868344
77	0.8268907563	0.08272453222
78	0.8280112045	0.08183349947
79	0.8293228875	0.08113947498
80	0.8306316378	0.0803363907
81	0.8317495808	0.07937354375
82	0.8310961969	0.07871814833
83	0.8324022346	0.07791480787
84	0.8324022346	0.07720133677
85	0.8324022346	0.07651330929
86	0.8324022346	0.07573654429
87	0.8324022346	0.07509061021
88	0.8317495808	0.0743620084
89	0.8315612759	0.0737865321
90	0.8310961969	0.07316322725
91	0.8310961969	0.07261993474
92	0.829787234	0.07203907297
93	0.8307174888	0.07148194321
94	0.8326804701	0.07089227872
95	0.831372549	0.07033127712
96	0.8320268757	0.06982314351
97	0.8326804701	0.06930058565
98	0.8339854667	0.06879697336
99	0.8352875489	0.0683414021
100	0.8372352285	0.06791737276
101	0.8378830084	0.06748558362
102	0.8385300668	0.06703306607
103	0.8385300668	0.06673406419
104	0.8385300668	0.06639930114
105	0.8391764051	0.06597947814
106	0.8417545808	0.06556978198
107	0.8411111111	0.06516980171
108	0.8406440866	0.06486749096
109	0.8423973363	0.06453723801
110	0.8419301165	0.06420488517
111	0.8419301165	0.06387219691
112	0.8419301165	0.06356823145
113	0.8423973363	0.0631985207
114	0.8430393788	0.06279257276
115	0.8443213296	0.0624167556
116	0.8458980044	0.06213980571
117	0.84572697	0.06183718974
118	0.8444444444	0.06163557724
119	0.8444444444	0.06132230794
120	0.84572697	0.0610846813
121	0.8455555556	0.06080765224
122	0.8461965575	0.06062236523
123	0.85077951	0.06041484242
124	0.8514190317	0.06017653764
125	0.850945495	0.05997483881
126	0.850945495	0.05978205919
127	0.850945495	0.05965253066
128	0.850945495	0.0594045776
129	0.8522222222	0.05921148463
130	0.8523862375	0.05898320323
131	0.8523862375	0.05877837291
132	0.8526959422	0.05855847159
133	0.8533333333	0.05833306435
134	0.8528595225	0.05814075809
135	0.852057842	0.05794332205
136	0.8526959422	0.0577462528
137	0.8522222222	0.05756143293
138	0.8528595225	0.05733362785
139	0.8522222222	0.05714669942
140	0.8528595225	0.05703110402
141	0.8528595225	0.05686480976
142	0.8528595225	0.05663718609
143	0.8541320022	0.05645801417
144	0.8541320022	0.05631126405
145	0.8541320022	0.05619081417
146	0.8534961154	0.05611765025
147	0.8541320022	0.05597100371
148	0.8541320022	0.0557977905
149	0.8542936288	0.05564398571
